terms_conditions,type_independent_activity_id,incomes,extra_incomes,familiar_debts,is_tax_return,region_id,name,name.1,viability,is_selected,has_region_id,has_date_exp_token,year_exp_token,month_exp_token,day_exp_token,year_birth,month_birth,day_birth,has_extra_incomes,has_familiar_debts,age,age_section
1,1,20.107079699374445,0.0,0.0,1,12.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,10,19,1968,12,31,1,1,54,more 40
0,1,16.78377383960119,0.0,12.429220196836383,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,10,19,1966,10,13,1,0,56,more 40
1,1,16.64181781569051,0.0,12.899222326086994,1,2.0,"wholesale and retail, auto repair",independent,1,1,True,True,2022,10,20,1959,5,1,1,0,63,more 40
1,1,19.519293035953808,0.0,14.914123179965662,1,7.0,"wholesale and retail, auto repair",independent,1,1,True,True,2022,10,21,1985,12,26,1,0,37,less 40
1,1,15.581952390148196,0.0,14.820544865704962,1,13.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,10,22,1969,7,20,1,0,53,more 40
0,1,18.31532023940565,0.0,18.31532023940565,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,10,22,1966,11,11,1,0,56,more 40
1,1,16.705882371415992,0.0,0.0,1,26.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,10,24,1981,1,19,1,1,41,more 40
1,1,16.811242881518265,0.0,0.0,1,26.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,10,24,1999,6,11,1,1,23,less 40
0,1,15.830413711839864,0.0,12.206077645517674,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,10,24,1980,3,2,1,0,42,more 40
1,1,17.034386422832473,0.0,0.0,1,1.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,10,25,1977,9,16,1,1,45,more 40
1,1,13.910821646859095,0.0,0.0,0,12.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,10,25,1991,10,25,1,1,31,less 40
1,1,18.09217669086922,0.0,0.0,1,2.0,"wholesale and retail, auto repair",independent,1,1,True,True,2022,10,25,1985,11,15,1,1,37,less 40
0,1,16.705882371415992,0.0,14.508658238524095,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,10,25,1983,11,28,1,0,39,less 40
1,1,14.862829903121964,0.0,0.0,0,13.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,10,26,1966,11,28,1,1,56,more 40
1,1,15.86963441986494,0.0,0.0,1,2.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,10,27,1965,2,7,1,1,57,more 40
1,1,14.508658238524095,0.0,0.0,0,12.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,10,28,1979,12,6,1,1,43,more 40
1,1,14.508658238524095,0.0,13.45883704259595,1,1.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,10,28,1974,4,15,1,0,48,more 40
0,1,17.370858648025116,0.0,12.611541086966115,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,10,28,1980,2,22,1,0,42,more 40
0,1,16.55950695015277,0.0,0.0,0,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,10,28,2003,2,25,1,1,19,less 20
1,1,17.540800096419918,0.0,12.611541086966115,1,2.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,1,1976,11,5,1,0,46,more 40
1,1,18.420680753952364,0.0,0.0,1,2.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,1,1977,4,21,1,1,45,more 40
1,1,16.705882371415992,0.0,12.429220196836383,1,1.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,2,1984,7,4,1,0,38,less 40
1,1,16.380459992348886,0.0,13.122365377402328,1,1.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,4,1985,5,5,1,0,37,less 40
0,1,15.882373444019521,0.0,12.206077645517674,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,11,4,1977,8,16,1,0,45,more 40
1,1,15.424948670398354,0.0,0.0,0,26.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,11,8,1962,8,2,1,1,60,more 40
1,1,17.216707972959764,0.0,0.0,1,1.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,8,1962,4,22,1,1,60,more 40
1,1,15.894952224644102,0.0,0.0,0,26.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,11,9,1963,10,18,1,1,59,more 40
1,1,16.645321473260065,0.0,0.0,1,26.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,9,1974,9,29,1,1,48,more 40
1,1,16.475770165160203,0.0,0.0,1,2.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,11,10,2002,10,17,1,1,20,less 40
1,1,16.341239282272525,0.0,13.592368256649284,1,2.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,11,1982,2,22,1,0,40,more 40
0,1,17.287901858142302,0.0,12.611541086966115,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,11,11,1972,10,1,1,0,50,more 40
1,1,14.914123179965662,0.0,0.0,0,-1,"wholesale and retail, auto repair",independent,0,0,True,True,2022,11,12,1970,9,9,1,1,52,more 40
0,1,18.23634918044769,0.0,12.899222326086994,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,11,12,1980,5,28,1,0,42,more 40
1,1,18.420680753952364,0.0,0.0,1,2.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,15,1995,11,6,1,1,27,less 40
1,1,16.300417291085605,0.0,13.592368256649284,1,1.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,11,17,1983,1,10,1,0,39,less 40
0,1,18.197537205138154,0.0,13.122365377402328,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,11,17,1985,3,23,1,0,37,less 40
1,1,15.894952224644102,0.0,13.815511557963774,0,1.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,18,1996,11,18,1,0,26,less 40
1,1,16.118095750958314,0.0,14.508658238524095,1,2.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,11,19,1993,3,27,1,0,29,less 40
1,1,15.894952224644102,0.0,0.0,0,1.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,20,1968,3,5,1,1,54,more 40
0,1,15.201805169084134,0.0,12.899222326086994,1,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,11,20,1985,8,17,1,0,37,less 40
1,1,14.508658238524095,0.0,12.206077645517674,0,26.0,"wholesale and retail, auto repair",independent,1,1,True,True,2022,11,23,1985,1,6,1,0,37,less 40
1,1,18.15931599280497,0.0,11.51293546492023,1,13.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,24,1982,1,3,1,0,40,more 40
1,1,16.118095750958314,0.0,0.0,1,6.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,24,1982,10,23,1,1,40,more 40
1,1,17.72753358339242,0.0,13.122365377402328,1,1.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,25,1977,2,22,1,0,45,more 40
1,1,14.914123179965662,0.0,0.0,1,12.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,25,1972,2,14,1,1,50,more 40
1,1,16.213405921671733,0.0,0.0,1,2.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,11,28,1982,3,14,1,1,40,more 40
1,1,15.894952224644102,0.0,0.0,1,13.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,11,29,1991,6,2,1,1,31,less 40
1,1,15.068273812173887,0.0,0.0,0,1.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,11,30,1984,3,14,1,1,38,less 40
0,1,15.319588176962746,0.0,13.122365377402328,0,0.0,"wholesale and retail, auto repair",independent,0,1,False,False,2022,11,30,1982,10,19,1,0,40,more 40
1,1,15.555976908243359,0.0,12.206077645517674,1,12.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,12,6,1991,9,9,1,0,31,less 40
1,1,16.52356082573315,0.0,0.0,1,12.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,12,9,1988,11,5,1,1,34,less 40
1,1,18.420680753952364,0.0,12.206077645517674,1,2.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,12,10,1993,9,9,1,0,29,less 40
1,1,18.064005814299346,0.0,0.0,1,1.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,12,11,1962,12,3,1,1,60,more 40
1,1,16.118095750958314,0.0,0.0,1,2.0,"wholesale and retail, auto repair",independent,1,1,True,True,2022,12,13,1976,5,1,1,1,46,more 40
1,1,17.628817612528316,0.0,12.611541086966115,1,1.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,12,13,1974,2,15,1,0,48,more 40
1,1,15.096444681204078,0.0,0.0,0,12.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,12,14,1998,9,24,1,1,24,less 40
1,1,15.424948670398354,0.0,0.0,0,1.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,12,15,1982,7,21,1,1,40,more 40
1,1,15.201805169084134,0.0,0.0,0,2.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,12,15,1965,8,16,1,1,57,more 40
0,1,16.80095595253913,0.0,12.611541086966115,0,0.0,"wholesale and retail, auto repair",independent,1,1,False,False,2022,12,15,1977,4,20,1,0,45,more 40
1,1,14.50765773869101,0.0,0.0,1,1.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,12,20,1971,2,25,1,1,51,more 40
1,1,15.068273812173887,0.0,0.0,0,26.0,"wholesale and retail, auto repair",independent,1,0,True,True,2022,12,20,2003,2,28,1,1,19,less 20
1,1,16.52356082573315,0.0,0.0,1,13.0,"wholesale and retail, auto repair",independent,0,0,True,True,2022,12,20,1988,9,15,1,1,34,less 40
